drug_1,drug_2,relation_type,severity,mention_count,evidence_sentence
bupropion,paroxetine,advise,Moderate,1,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., meto"
phenytoin,estrogens,mechanism,High,2,"The most commonly occurring drug interactions are listed below: - Drugs that may increase plasma phenytoin concentrations include: acute alcohol intake, amiodarone, chboramphenicol, chlordiazepoxide, cimetidine, diazepam, dicumarol, disulfiram, estrogens, ethosuximide, fluoxetine, H2-antagonists, ha"
VIRACEPT,Antimycobacterial agents,advise,Moderate,2,Drugs Which Require a Dose Reduction When Coadminstered With VIRACEPT Antimycobacterial agents: rifabutin
rifampicin,ofloxacin,effect,Moderate,1,"When combined with ofloxacin, KRM-1648 exhibited strong synergistic activity while only additive effects were observed with the combination of rifampicin (or rifabutin) and ofloxacin."
EQUETROTM,nefazodone,mechanism,High,1,"Agents that are CYP3A4 inhibitors that have been found, or are expected, to increase plasma levels of EQUETROTM are the following: Acetazolamide, azole antifungals, cimetidine, clarithromycin(1), dalfopristin, danazol, delavirdine, diltiazem, erythromycin(1), fluoxetine, fluvoxamine, grapefruit juic"
EQUETROTM,nicotinamide,mechanism,High,1,"Agents that are CYP3A4 inhibitors that have been found, or are expected, to increase plasma levels of EQUETROTM are the following: Acetazolamide, azole antifungals, cimetidine, clarithromycin(1), dalfopristin, danazol, delavirdine, diltiazem, erythromycin(1), fluoxetine, fluvoxamine, grapefruit juic"
Beta-adrenergic receptor antagonists,BROVANA,effect,Moderate,1,Beta-adrenergic receptor antagonists (beta-blockers) and BROVANA may interfere with the effect of each other when administered concurrently.
ketoconazole,VIRACEPT,mechanism,High,1,Ketoconazole: Coadministration of ketoconazole with VIRACEPT resulted in a 35% increase in nelfinavir plasma A.C.
lithium,ATACAND,mechanism,High,1,"An increase in serum lithium concentration has been reported during concomitant administration of lithium with ATACAND, so careful monitoring of serum lithium levels is recommended during concomitant use."
phenytoin,Mefloquine,effect,Moderate,1,"In patients taking an anticonvulsant (eg, valproic acid, carbamazepine, phenobarbital or phenytoin), the concomitant use of Mefloquine may reduce seizure control by lowering the plasma levels of the anticonvulsant."
levothyroxine sodium,sucralfate,mechanism,High,1,"Levothyroxine Sodium Absorption: The following agents may bind and decrease absorption of levothyroxine sodium from the gastrointestinal tract: aluminum hydoxide, cholestyramine resin, colestipol hydrochloride, ferrous sulfate, sodium polystyrene sulfonate, soybean flour (e.g., infant formula), sucr"
moclobemide,almotriptan,mechanism,High,1,Monoamine Oxidase Inhibitors: Coadministration of moclobemide resulted in a 27% decrease in almotriptan clearance and an increase in Cmax of approximately 6%.
Etonogestrel,Phenobarbital,int,Low,1,"Etonogestrel may interact with the following medications: acetaminophen (Tylenol), antibiotics such as ampicillin and tetracycline, anticonvulsants (Dilantin, Phenobarbital, Tegretol, Trileptal, Topamax, Felbatol), antifungals (Gris-PEG, Nizoral, Sporanox), atorvastatin (Lipitor), clofibrate (Atromi"
d-amphetamine,protriptyline,mechanism,High,2,d-amphetamine with desipramine or protriptyline and possibly other tricyclics cause striking and sustained increases in the concentration of d-amphetamine in the brain;
benzodiazepine class,anticonvulsant drugs,effect,Moderate,1,"Pharmacodynamic Interactions: The CNS-depressant action of the benzodiazepine class of drugs may be potentiated by alcohol, narcotics, barbiturates, nonbarbiturate hypnotics, antianxiety agents, the phenothiazines, thioxanthene and butyrophenone classes of antipsychotic agents, monoamine oxidase inh"
warfarin,saquinavir,mechanism,High,1,"Although specific studies have not been performed, coadministration with drugs that are mainly metabolized by CYP3A4 (eg, calcium channel blockers, dapsone, disopyramide, quinine, amiodarone, quinidine, warfarin, tacrolimus, cyclosporine, ergot derivatives, pimozide, carbamazepine, fentanyl, alfenta"
NUROMAX,phenytoin,effect,Moderate,1,"As with some other nondepolarizing neuromuscular blocking agents, the time of onset of neuromuscular block induced by NUROMAX is lengthened and the duration of block is shortened in patients receiving phenytoin or carbamazepine."
Grepafloxacin,caffeine,mechanism,High,1,"Caffeine Theobromine Grepafloxacin, like other quinolones, may inhibit the metabolism of caffeine and theobromine."
benzodiazepines,diltiazem,mechanism,High,1,"The following are examples of drugs known to inhibit the metabolism of other related benzodiazepines, presumably through inhibition of CYP3A: nefazodone, fluvoxamine, cimetidine, diltiazem, isoniazide, and some macrolide antibiotics."
etidronate,warfarin,effect,Moderate,1,There have been isolated reports of patients experiencing increases in their prothrombin times when etidronate was added to warfarin therapy.
cimetidine,diltiazem,mechanism,High,3,"The effect may be mediated by cimetidines known inhibition of hepatic cytochrome P-450, the enzyme system responsible for the first-pass metabolism of diltiazem."
colestipol hydrochloride,propranolol,mechanism,High,1,Repeated doses of colestipol hydrochloride given prior to a single dose of propranolol in human trials have been reported to decrease propranolol absorption.
griseofulvin,contraceptives,effect,Moderate,1,The concomitant administration of griseofulvin has been reported to reduce the efficacy of oral contraceptives and to increase the incidence of breakthrough bleeding.
levothyroxine,estrogens,mechanism,High,1,"In a patient with a nonfunctioning thyroid gland who is receiving thyroid replacement therapy, free levothyroxine may be decreased when estrogens are started thus increasing thyroid requirements."
Cimetidine,TIKOSYN,advise,Moderate,2,"If a patient requires TIKOSYN and anti-ulcer therapy, it is suggested that omeprazole, ranitidine, or antacids (aluminum and magnesium hydroxides) be used as alternatives to cimetidine, as these agents have no effect on the pharmacokinetic profile of TIKOSYN."
L-phenylalanine,non-selective MAO inhibitors,effect,Moderate,1,Concomitant use of L-phenylalanine and non-selective MAO inhibitors may cause hypertension.
Aprepitant,norethindrone,mechanism,High,1,"Oral contraceptives: Aprepitant, when given once daily for 14 days as a 100-mg capsule with an oral contraceptive containing 35 mcg of ethinyl estradiol and 1 mg of norethindrone, decreased the AUC of ethinyl estradiol by 43%, and decreased the AUC of norethindrone by 8%;"
sulphonylureas,Bezalip retard,effect,Moderate,1,- The action of sulphonylureas and insulin may be enhanced by Bezalip or Bezalip retard.
Quinolones,warfarin,effect,Moderate,8,"However, the systemic administration of some quinolones has been shown to elevate plasma concentrations of theophylline, interfere with the metabolism of caffeine, and enhance the effects of the oral anticoagulant warfarin and its derivatives, and has been associated with transient elevations in ser"
fenoldopam,beta-blockers,advise,Moderate,1,Drug Interactions with Beta-Blockers: Concomitant use of fenoldopam with beta-blockers should be avoided.
anticoagulant,ibuprofen,effect,Moderate,1,"Drugs that reportedly may increase oral anticoagulant response, ie, increased prothrombin response, in man include:alcohol*;allopurinol;aminosalicylic acid;amiodarone;anabolic steroids;antibiotics;bromelains;chloral hydrate*;chlorpropamide;chymotrypsin;cimetidine;cinchophen;clofibrate;dextran;dextro"
loracarbef,probenecid,mechanism,High,1,"Probenecid: As with other b-lactam antibiotics, renal excretion of loracarbef is inhibited by probenecid and resulted in an approximate 80% increase in the AUC for loracarbef."
pentobarbital,ouabain,effect,Moderate,1,"In a comparison of digitalis tolerance in dogs anesthetized with ketamine, Innovar Vet, or pentobarbital, the dosage of ouabain needed to cause ventricular tachycardia was significantly higher, as was the LD50 of ouabain, with ketamine or Innovar than with pentobarbital."
Corticosteroids,live attenuated vaccines,effect,Moderate,1,Corticosteroids may also potentiate the replication of some organisms contained in live attenuated vaccines.
Furosemide,antihypertensive drugs,effect,Moderate,1,Furosemide may add to or potentiate the therapeutic effect of other antihypertensive drugs.
cypermethrin,allopurinol,effect,Moderate,3,"Pretreatment of rats with allopurinol (100 mg/kg, ip) or Vitamin E (100 mg/kg per day, ig, for 3 days and a dose of 40 mg/kg on the 4th day) provided significant protection against the elevation of TBARS levels in cerebral and hepatic tissues, induced by single high dose of oral cypermethrin adminis"
ISUPREL,halothane,advise,Moderate,1,"ISUPREL should be used with caution, if at all, when potent inhalational anesthetics such as halothane are employed because of potential to sensitize the myocardium to effects of sympathomimetic amines."
Antacids,chloroquine,mechanism,High,1,Antacids and kaolin: Antacids and kaolin can reduce absorption of chloroquine;
cyclosporine,allopurinol sodium,mechanism,High,1,Cyclosporin: Reports indicate that cyclosporine levels may be increased during concomitant treatment with allopurinol sodium for injection.
thyroid,estrogens,advise,Moderate,1,"Therefore, patients without a functioning thyroid gland who are on thyroid replacement therapy may need to increase their thyroid dose if estrogens or estrogen-containing oral contraceptives are given."
clozapine,phenothiazines,advise,Moderate,1,"Therefore, co-administration of clozapine with other drugs that are metabolized by this isozyme, including antidepressants, phenothiazines, carbamazepine, and Type 1C antiarrhythmics (e.g., propafenone, flecainide and encainide), or that inhibit this enzyme (e.g., quinidine), should be approached wi"
methysergide,FROVA,advise,Moderate,1,"Due to a theoretical risk of a pharmacodynamic interaction, use of ergotamine-containing or ergot-type medications (like dihydroergotamine or methysergide) and FROVA within 24 hours of each other should be avoided (see  a href= frova_od.htm#CI CONTRAINDICATIONS)."
Robinul,antiparkinson drugs,effect,Moderate,1,"The concurrent use of Robinul Injection with other anticholinergics or medications with anticholinergic activity, such as phenothiazines, antiparkinson drugs, or tricyclic antidepressants, may intensify the antimuscarinic effects and may result in an increase in anticholinergic side effects."
estazolam,barbiturates,mechanism,High,1,"While no in vivo drug-drug interaction studies were conducted between estazolam and inducers of CYP3A, compounds that are potent CYP3A inducers (such as carbamazepine, phenytoin, rifampin, and barbiturates) would be expected to decrease estazolam concentrations."
indomethacin,beta blockers,effect,Moderate,1,"Concomitant use of prostaglandin synthase inhibiting drugs, eg, indomethacin, may decrease the hypotensive effects of beta blockers."
phenytoin,cimetidine,mechanism,High,1,"The most commonly occurring drug interactions are listed below: - Drugs that may increase plasma phenytoin concentrations include: acute alcohol intake, amiodarone, chboramphenicol, chlordiazepoxide, cimetidine, diazepam, dicumarol, disulfiram, estrogens, ethosuximide, fluoxetine, H2-antagonists, ha"
FLEXERIL,CNS depressants,effect,Moderate,1,"FLEXERIL may enhance the effects of alcohol, barbiturates, and other CNS depressants."
vitamin D,corticosteroids,effect,Moderate,1,"Corticosteroids: A relationship of functional antagonism exists between vitamin D analogues, which promote calcium absorption, and corticosteroids, which inhibit calcium absorption."
rifampin,ketoconazole,mechanism,High,1,Concomitant administration of rifampin with ketoconazole tablets reduces the blood levels of the latter.
Dexbrompheniramine,CNS depressants,int,Low,2,"Dexbrompheniramine can interact with alcohol or other CNS depressants (may potentiate the CNS depressant effects of either these medications or antihistamines), anticholinergics or other medications with anticholinergic activity (anticholinergic effects may be potentiated when these medications are "
phenytoin,isoniazid,mechanism,High,2,Phenytoin: Isoniazid may increase serum levels of phenytoin.
Vitamin D,digitalis,advise,Moderate,3,"Digitalis: Vitamin D dosage must be determined with care in patients undergoing treatment with digitalis, as hypercalcemia in such patients may precipitate cardiac arrhythmias."
ranitidine,cisapride,mechanism,High,1,The gastrointestinal absorption of cimetidine and ranitidine is accelerated when they are coadministered with cisapride.
antacid,SPRYCEL,advise,Moderate,1,"If antacid therapy is needed, the antacid dose should be administered at least 2 hours prior to or 2 hours after the dose of SPRYCEL."
Factrel,phenothiazines,effect,Moderate,1,The response to Factrel may be blunted by phenothiazines and dopamine antagonists which cause a rise in prolactin.
HMG-CoA reductase inhibitors,CRIXIVAN,advise,Moderate,1,"Use lowest possible dose of atorvastatin with careful monitoring, or consider HMG-CoA reductase inhibitors that are not primarily metabolized by CYP3A4, such as pravastatin, fluvastatin, or rosuvastatin in combination with CRIXIVAN."
idoxuridine,boric acid,mechanism,High,2,Boric acid may interact with the idoxuridine preparation causing a gritty substance to form or may interact with the preservative in the idoxuridine preparation causing a toxic effect in the eye.
proton pump inhibitors,dasatinib,effect,Moderate,1,"H2 Blockers/Proton Pump Inhibitors: Long-term suppression of gastric acid secretion by H2 blockers or proton pump inhibitors (eg, famotidine and omeprazole) is likely to reduce dasatinib exposure."
clonazepam,propantheline,mechanism,High,2,"In a study in which the 2 mg clonazepam orally disintegrating tablet was administered with and without propantheline (an anticholinergic agent with multiple effects on the GI tract) to healthy volunteers, the AUC of clonazepam was 10% lower and the Cmax of clonazepam was 20% lower when the orally di"
dopamine antagonists,metoclopramide,effect,Moderate,1,"Dopamine Antagonists: Since apomorphine is a dopamine agonist, it is possible that dopamine antagonists, such as the neuroleptics (phenothiazines, butyrophenones, thioxanthenes) or metoclopramide, may diminish the effectiveness of APOKYN."
aripiprazole,antihypertensive agents,effect,Moderate,1,"1- adrenergic receptor antagonism, aripiprazole has the potential to enhance the effect of certain antihypertensive agents."
Midazolam,morphine,effect,Moderate,1,"Midazolam used at doses of 1.25 mg/kg and 2.5 mg/kg decreased the antinociceptive effect of morphine, metamizol (only in the tail-flick test) and indomethacin."
benzodiazepines,nefazodone,mechanism,High,1,"The following are examples of drugs known to inhibit the metabolism of other related benzodiazepines, presumably through inhibition of CYP3A: nefazodone, fluvoxamine, cimetidine, diltiazem, isoniazide, and some macrolide antibiotics."
Cytosine arabinoside,flucytosine,effect,Moderate,1,"Cytosine arabinoside, a cytostatic agent, has been reported to inactivate the antifungal activity of flucytosine by competitive inhibition."
felbamate,phenytoin,mechanism,High,3,"Effects of Other Antiepileptic Drugs on Felbatol  Phenytoin: Phenytoin causes an approximate doubling of the clearance of Felbatol  (felbamate) at steady state and, therefore, the addition of phenytoin causes an approximate 45% decrease in the steady-state trough concentrations of Felbatol  as compa"
anticonvulsant,efavirenz,mechanism,High,1,Potential for reduction in anticonvulsant and/or efavirenz plasma levels;
nefazodone,cisapride,mechanism,High,1,"Antidepressants: In vitro data indicate that nefazodone inhibits the metabolism of cisapride, which can result in an increase in plasma cisapride levels and prolongation of the QT interval on the ECG."
Ethinyl estradiol,prednisolone,mechanism,High,1,"Prednisolone: Ethinyl estradiol may inhibit the metabolism of prednisolone, leading to increased plasma concentrations."
anticoagulant,dextrothyroxine,effect,Moderate,1,"Drugs that reportedly may increase oral anticoagulant response, ie, increased prothrombin response, in man include:alcohol*;allopurinol;aminosalicylic acid;amiodarone;anabolic steroids;antibiotics;bromelains;chloral hydrate*;chlorpropamide;chymotrypsin;cimetidine;cinchophen;clofibrate;dextran;dextro"
tetracycline,digoxin,mechanism,High,1,"Erythromycin and clarithromycin (and possibly other macrolide antibiotics) and tetracycline may increase digoxin absorption in patients who inactivate digoxin by bacterial metabolism in the lower intestine, so that digitalis intoxication may result."
buprenorphine,benzodiazepines,effect,Moderate,2,There have been a number of reports in the post-marketing experience of coma and death associated with the concomitant intravenous misuse of buprenorphine and benzodiazepines by addicts.
bupropion,phenelzine,effect,Moderate,1,MAO Inhibitors: Studies in animals demonstrate that the acute toxicity of bupropion is enhanced by the MAO inhibitor phenelzine .
buspirone,warfarin,effect,Moderate,1,"However, there has been one report of prolonged prothrombin time when buspirone was added to the regimen of a patient treated with warfarin."
Indinavir,nevirapine,mechanism,High,1,Indinavir concentrations may be decreased in the presence of nevirapine.
furosemide,acetylsalicylic acid,effect,Moderate,1,"Tablets, Injection, and Oral Solution One study in six subjects demonstrated that the combination of furosemide and acetylsalicylic acid temporarily reduced creatinine clearance in patients with chronic renal insufficiency."
EQUETROTM,lamotrigine,mechanism,High,1,"Agents that have been found, or are expected to have decreased plasma levels in the presence of EQUETROTM due to induction of CYP enzymes are the following: Acetaminophen, alprazolam, amitriptyline, bupropion, buspirone, citalopram, clobazam, clonazepam, clozapine, cyclosporin, delavirdine, desipram"
Etonogestrel,Felbatol,int,Low,1,"Etonogestrel may interact with the following medications: acetaminophen (Tylenol), antibiotics such as ampicillin and tetracycline, anticonvulsants (Dilantin, Phenobarbital, Tegretol, Trileptal, Topamax, Felbatol), antifungals (Gris-PEG, Nizoral, Sporanox), atorvastatin (Lipitor), clofibrate (Atromi"
EQUETROTM,phenobarbital,mechanism,High,1,"Agents that are CYP inducers that have been found, or are expected, to decrease plasma levels of EQUETROTM are the following: Cisplatin, doxorubicin HCL, felbamate, rifampin, phenobarbital, Phenytoin(2), primidone, methsuximide, and theophylline Thus, if a patient has been titrated to a stable dosag"
Mefloquine,chloroquine,effect,Moderate,1,"Concomitant administration of Mefloquine and other related compounds (eg, quinine, quinidine and chloroquine) may produce electrocardiographic abnormalities and increase the risk of convulsions."
EQUETROTM,protease inhibitors,mechanism,High,2,"Agents that have been found, or are expected to have decreased plasma levels in the presence of EQUETROTM due to induction of CYP enzymes are the following: Acetaminophen, alprazolam, amitriptyline, bupropion, buspirone, citalopram, clobazam, clonazepam, clozapine, cyclosporin, delavirdine, desipram"
Macrolide antibiotics,cerivastatin,mechanism,High,1,"CONCLUSIONS: Macrolide antibiotics inhibit the metabolism of HMG-CoA reductase inhibitors that are metabolized by CYP3A4 (i.e., atorvastatin, cerivastatin, lovastatin, simvastatin)."
anticoagulant,ranitidine,effect,Moderate,2,"Drugs that have been reported to diminish oral anticoagulant response, ie, decreased prothrom-bin time response, in man significantly include: adrenocortical steroids;alcohol*;antacids;antihistamines;barbiturates;carbamazepine;chloral hydrate*;chlordiazepoxide;cholestyramine;diet high in vitamin K;d"
digoxin,diltiazem hydrochloride,mechanism,High,2,Administration of diltiazem hydrochloride with digoxin in 24 healthy male subjects increased plasma digoxin concentrations approximately 20%.
anticoagulant,paraldehyde,effect,Moderate,1,"Drugs that have been reported to diminish oral anticoagulant response, ie, decreased prothrom-bin time response, in man significantly include: adrenocortical steroids;alcohol*;antacids;antihistamines;barbiturates;carbamazepine;chloral hydrate*;chlordiazepoxide;cholestyramine;diet high in vitamin K;d"
erythromycin,valproate,int,Low,2,"Other drugs Drug interactions have been reported with concomitant administration of erythromycin and other medications, including cyclosporine, hexobarbital, carbamazepine, alfentanil, disopyramide, phenytoin, bromocriptine, valproate, astemizole, and lovastatin."
anticoagulants,Fluvoxamine,advise,Moderate,1,Thus patients receiving oral anticoagulants and Fluvoxamine Tablets should have their prothrombin time monitored and their anticoagulant dose adjusted accordingly.
d-amphetamine,desipramine,mechanism,High,2,d-amphetamine with desipramine or protriptyline and possibly other tricyclics cause striking and sustained increases in the concentration of d-amphetamine in the brain;
glimepiride,Trilisate,advise,Moderate,1,"Before taking glimepiride, tell your doctor if you are taking any of the following medicines: - aspirin or another salicylate such as magnesium/choline salicylate (Trilisate), salsalate (Disalcid, others), choline salicylate (Arthropan), magnesium salicylate (Magan), or bismuth subsalicylate (Pepto-"
dobutamine,b-blocking drug,effect,Moderate,1,Animal studies indicate that dobutamine may be ineffective if the patient has recently received a b-blocking drug.
ibuprofen,coumarin-type anticoagulants,effect,Moderate,1,"However, because bleeding has been reported when ibuprofen and other nonsteroidal anti-inflammatory agents have been administered to patients on coumarin-type anticoagulants, the physician should be cautious when administering ibuprofen to patients on anticoagulants."
azithromycin,warfarin,advise,Moderate,1,"However, prudent medical practice dictates careful monitoring of prothrombin time in all patients treated with azithromycin and warfarin concomitantly."
diclofenac,aspirin,advise,Moderate,2,"Aspirin: Concomitant administration of diclofenac and aspirin is not recommended because diclofenac is displaced from its binding sites during the concomitant administration of aspirin, resulting in lower plasma concentrations, peak plasma levels, and AUC values."
anileridine,sedatives,advise,Moderate,1,"Caution should be observed when anileridine is coadministered with other opioids, sedatives, phenothiazines, or anesthetics, as these agents may increase respiratory and circulatory depression."
alosetron,voriconazole,advise,Moderate,1,"Coadministration of alosetron and strong CYP3A4 inhibitors, such as clarithromycin, telithromycin, protease inhibitors, voriconazole, and itraconazole has not been evaluated but should be undertaken with caution because of similar potential drug interactions."
Nabilone,narcotic analgesics,advise,Moderate,1,"Nabilone should be administered with caution to patients who are taking other psychoactive drugs or CNS depressants, including alcohol, barbiturates and narcotic analgesics, or to those with a history of psychiatric disorder (including manic-depressive illness and schizophrenia)."
Steroids,edetate calcium disodium,effect,Moderate,1,Steroids enhance the renal toxicity of edetate calcium disodium in animals. 7 Edetate calcium disodium interferes with the action of zinc insulin preparations by chelating the zinc. 7
anticoagulant,barbiturates,effect,Moderate,1,"Drugs that have been reported to diminish oral anticoagulant response, ie, decreased prothrom-bin time response, in man significantly include: adrenocortical steroids;alcohol*;antacids;antihistamines;barbiturates;carbamazepine;chloral hydrate*;chlordiazepoxide;cholestyramine;diet high in vitamin K;d"
naloxone,morphine,effect,Moderate,3,"On the other hand, intrathecal naloxone (12-120 micrograms) had only a very weak effect on the tail-flick inhibition induced by intraventricular morphine (40 micrograms)."
VIRACEPT,amiodarone,advise,Moderate,1,"Drugs That Should Not Be Coadministered With VIRACEPT Antiarrhythmics: amiodarone, quinidine Antihistamines: astemizole, terfenadine Antimigraine: ergot derivatives Antimycobacterial agents: rifampin Benzodiazepines midazolam, triazolam GI motility agents: cisapride"
Dexfenfluramine,serotoninergic agents,advise,Moderate,1,Dexfenfluramine should not be administered with other serotoninergic agents.
allopurinol,thiazide diuretics,advise,Moderate,2,"Although a causal mechanism and a cause-and-effect relationship have not been established, current evidence suggests that renal function should be monitored in patients on thiazide diuretics and allopurinol even in the absence of renal failure, and dosage levels should be even more conservatively ad"
Sulfapyridine,Acetaminophen,int,Low,1,"Sulfapyridine may interact with any of the following: - Acetaminophen (e.g., Tylenol) (with long-term, high-dose use) or"
phenytoin,dexamethasone,mechanism,High,1,"Phenytoin: In post-marketing experience, there have been reports of both increases and decreases in phenytoin levels with dexamethasone co-administration, leading to alterations in seizure control."
Magnesium,FACTIVE,advise,Moderate,1,"Magnesium- and/or aluminum-containing antacids, products containing ferrous sulfate (iron), multivitamin preparations containing zinc or other metal cations, or Videx (didanosine) chewable/buffered tablets or the pediatric powder for oral solution should not be taken within 3 hours before or 2 hours"
bupropion,phenobarbital,mechanism,High,1,"While not systematically studied, certain drugs may induce the metabolism of bupropion (e.g., carbamazepine, phenobarbital, phenytoin)."
dyphylline,probenecid,mechanism,High,1,"Concurrent administration of dyphylline and probenecid, which competes for tubular secretion, has been shown to increase the plasma half-life of dyphylline ."
sulfonamides,penicillins,effect,Moderate,1,"Bacteriostatic Antibiotics: Chloramphenicol, erythromycins, sulfonamides, or tetracyclines may interfere with the bactericidal effect of penicillins."
erythromycin,cyclosporine,int,Low,2,"Other drugs Drug interactions have been reported with concomitant administration of erythromycin and other medications, including cyclosporine, hexobarbital, carbamazepine, alfentanil, disopyramide, phenytoin, bromocriptine, valproate, astemizole, and lovastatin."
neomycin,5-fluorouracil,mechanism,High,1,"Oral neomycin inhibits the gastrointestinal absorption of penicillin V, oral vitamin B-12, methotrexate and 5-fluorouracil."
fluvoxamine,5-HT1 agonists,effect,Moderate,2,"Selective serotonin reuptake inhibitors (SSRIs) (e.g., fluoxetine, fluvoxamine, paroxetine, sertraline) have been reported, rarely, to cause weakness, hyperreflexia, and incoordination when coadministered with 5-HT1 agonists."
MAO inhibitors,hydrocodone,effect,Moderate,1,The use of MAO inhibitors or tricyclic antidepressants with hydrocodone preparations may increase the effect of either the antidepressant or hydrocodone.
Etonogestrel,Norvir,int,Low,1,"Etonogestrel may interact with the following medications: acetaminophen (Tylenol), antibiotics such as ampicillin and tetracycline, anticonvulsants (Dilantin, Phenobarbital, Tegretol, Trileptal, Topamax, Felbatol), antifungals (Gris-PEG, Nizoral, Sporanox), atorvastatin (Lipitor), clofibrate (Atromi"
ROMAZICON,benzodiazepines,effect,Moderate,1,ROMAZICON blocks the central effects of benzodiazepines by competitive interaction at the receptor level.
cimetidine,iodamide,mechanism,High,1,[The effect of cimetidine on the renal excretion of verografin and iodamide in dogs] The intravenous injection of cimetidine in a dose of 20 mg/kg enhanced verografine and iodamide excretion in chronic canine experiments.
hydroxyurea,uricosuric medication,effect,Moderate,1,"Since hydroxyurea may raise the serum uric acid level, dosage adjustment of uricosuric medication may be necessary"
COREG,diltiazem,effect,Moderate,2,Calcium Channel Blockers: Isolated cases of conduction disturbance (rarely with hemodynamic compromise) have been observed when COREG is co-administered with diltiazem.
hydroxychloroquine,heparin sodium,effect,Moderate,1,"Platelet inhibitors: Drugs such as acetylsalicylic acid, dextran, phenylbutazone, ibuprofen, indomethacin, dipyridamole, hydroxychloroquine and others that interfere with platelet-aggregation reactions (the main hemostatic defense of heparinized patients) may induce bleeding and should be used with "
quinolones,multivitamins,mechanism,High,1,"Administration of quinolones with antacids containing aluminum, magnesium, or calcium, with sucralfate, with metal cations such as iron, or with multivitamins containing iron or zinc, or with formulations containing divalent and trivalent cations such as VIDEX (didanosine) chewable/buffered tablets "
Aprepitant,clarithromycin,advise,Moderate,1,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution."
Clonidine,barbiturates,effect,Moderate,1,"Amitriptyline in combination with clonidine enhances the manifestation of corneal lesions in rats Epidural Injection Clonidine may potentiate the CNS-depressive effect of alcohol, barbiturates or other sedating drugs."
norepinephrine,tricyclic antidepressants,effect,Moderate,4,"The administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors, tricyclic antidepressants or phenothiazines may produce severe, prolonged hypotension or hypertension."
Chlorpromazine,amphetamines,effect,Moderate,2,"Chlorpromazine: Chlorpromazine blocks dopamine and norepinephrine receptors, thus inhibiting the central stimulant effects of amphetamines and can be used to treat amphetamine poisoning."
Codeine,CNS depressants,effect,Moderate,1,"Codeine in combination with other narcotic analgesics, general anesthetics, phenothiazines, tranquilizers, sedative-hypnotics, or other CNS depressants (including alcohol) has additive depressant effects."
danazol,lovastatin,effect,Moderate,1,"Danazol: The risk of myopathy/rhabdomyolysis is increased by concomitant administration of danazol particularly with higher doses of lovastatin (see WARNINGS, Myopathy/Rhabdomyolysis)."
Warfarin,cefixime,effect,Moderate,1,"Warfarin and Anticoagulants: Increased prothrombin time, with or without clinical bleeding, has been reported when cefixime is administered concomitantly."
VIRACEPT,rifampin,advise,Moderate,3,Rifampin: Coadministration of rifampin and VIRACEPT resulted in an 82% decrease in nelfinavir plasma A.C.
metformin,Acarbose,mechanism,High,2,"However, the peak plasma level of metformin was reduced by approximately 20% when taking Acarbose due to a slight delay in the absorption of metformin."
contraceptives,nevirapine,advise,Moderate,1,"Oral contraceptives and other hormonalmethods of birth control should not be usedas the sole method of contraception inwomen taking nevirapine, since nevirapinemay lower the plasma levels of thesemedications."
lovastatin,fibrates,advise,Moderate,1,"Therefore, the combined use of lovastatin with fibrates should generally be avoided."
buspirone hydrochloride,MAO inhibitors,advise,Moderate,1,"It is recommended that buspirone hydrochloride not be used concomitantly with MAO inhibitors Because the effects of concomitant administration of buspirone HCl with most other psychotropic drugs have not been studied, the concomitant use of buspirone HCl with other CNS-active drugs should be approac"
diuretics,enalaprilat,effect,Moderate,1,"Hypotension: Patients on Diuretic Therapy: Patients on diuretics and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with enalapril or enalaprilat."
butyrophenones,epinephrine,effect,Moderate,2,Phenothiazines and butyrophenones may reduce or reverse the pressor effect of epinephrine.
amphotericin B,skeletal muscle relaxants,effect,Moderate,1,"Skeletal muscle relaxants: amphotericin B-induced hypokalemia may enhance the curariform effect of skeletal muscle relaxants (e.g., tubocurarine)."
Probenecid,acetaminophen,mechanism,High,1,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonst"
L-tyrosine,MAO inhibitors,effect,Moderate,1,"Non-selective MAO inhibitors including tranylcypromine sulfate, phenelzine sulfate, and pargyline HC1: Concomitant use of L-tyrosine and non-selective MAO inhibitors may cause hypertension."
acebutolol,catecholamine depletors,advise,Moderate,1,"Patients treated with acebutolol plus catecholamine depletors should, therefore, be observed closely for evidence of marked bradycardia or hypotension which may present as vertigo, syncope/presyncope, or orthostatic changes in blood pressure without compensatory tachycardia."
